short_name,long_name
ARI Diamondbacks,Arizona Diamondbacks
CHI Cubs,Chicago Cubs
MIA Marlins,Miami Marlins
TB Rays,Tampa Bay Rays
NY Yankees,New York Yankees
BOS Red Sox,Boston Red Sox
KC Royals,Kansas City Royals
MIL Brewers,Milwaukee Brewers
ATL Braves,Atlanta Braves
BAL Orioles,Baltimore Orioles
DET Tigers,Detroit Tigers
CLE Guardians,Cleveland Guardians
LA Angels,Los Angeles Angels
COL Rockies,Colorado Rockies
CHI White Sox,Chicago White Sox
CIN Reds,Cincinnati Reds
HOU Astros,Houston Astros
OAK Athletics,Oakland Athletics
NY Mets,New York Mets
LA Dodgers,Los Angeles Dodgers
MIN Twins,Minnesota Twins
PIT Pirates,Pittsburgh Pirates
SEA Mariners,Seattle Mariners
SF Giants,San Francisco Giants
PHI Phillies,Philadelphia Phillies
SD Padres,San Diego Padres
STL Cardinals,St. Louis Cardinals
TEX Rangers,Texas Rangers
WAS Nationals,Washington Nationals
TOR Blue Jays,Toronto Blue Jays
